epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,253.517,0.70511,0.64174,0.97349,0.83236,0.78565,0.85276,0.60777,0.94343,0.85543,1.04307,0.000480039,0.000480039,0.000480039
71,257.16,0.68699,0.61863,0.96228,0.80799,0.66557,0.76637,0.53346,0.92281,0.96053,1.04489,0.000478938,0.000478938,0.000478938
72,260.748,0.68392,0.60228,0.96903,0.82809,0.79229,0.85496,0.61569,0.93533,0.80543,1.0382,0.000477838,0.000477838,0.000477838
73,264.357,0.69025,0.62078,0.96577,0.77402,0.8445,0.8654,0.63209,0.88334,0.75707,1.00633,0.000476737,0.000476737,0.000476737
74,267.962,0.68748,0.61046,0.96236,0.80612,0.81471,0.84843,0.63113,0.88395,0.79012,1.02961,0.000475636,0.000475636,0.000475636
75,271.544,0.6784,0.60284,0.96899,0.91101,0.76468,0.87092,0.64199,0.88456,0.76964,1.01095,0.000474535,0.000474535,0.000474535
76,275.156,0.68798,0.59311,0.96031,0.8429,0.74828,0.82996,0.59279,0.91418,0.89393,1.03571,0.000473434,0.000473434,0.000473434
77,278.743,0.70397,0.60625,0.972,0.77367,0.79371,0.8214,0.59789,0.90889,0.86552,1.03709,0.000472333,0.000472333,0.000472333
78,282.353,0.68406,0.6004,0.96623,0.85473,0.78453,0.84219,0.62029,0.87838,0.77291,1.00816,0.000471232,0.000471232,0.000471232
79,285.887,0.67226,0.57932,0.94882,0.86502,0.76141,0.83761,0.59541,0.93132,0.84367,1.03277,0.000470131,0.000470131,0.000470131
80,289.471,0.70142,0.61528,0.95913,0.86501,0.7916,0.84999,0.60365,0.91542,0.77023,1.02737,0.00046903,0.00046903,0.00046903
81,293.967,0.71071,0.60997,0.9613,0.84534,0.67231,0.80908,0.56433,0.92482,0.84105,1.04594,0.00046793,0.00046793,0.00046793
82,298.175,0.69701,0.58922,0.96265,0.82856,0.80578,0.86674,0.63542,0.86629,0.75766,1.01684,0.000466829,0.000466829,0.000466829
83,301.741,0.66005,0.56683,0.94676,0.90558,0.79472,0.86948,0.64295,0.86124,0.75108,1.00547,0.000465728,0.000465728,0.000465728
84,305.335,0.65326,0.55378,0.9614,0.90805,0.74135,0.84509,0.62522,0.85685,0.75781,1.00004,0.000464627,0.000464627,0.000464627
85,308.935,0.66665,0.56382,0.94773,0.87804,0.79902,0.87267,0.64395,0.85446,0.72024,1.00683,0.000463526,0.000463526,0.000463526
86,312.487,0.66968,0.58399,0.95598,0.86055,0.77404,0.8491,0.60904,0.88161,0.74909,1.00481,0.000462425,0.000462425,0.000462425
87,316.016,0.66743,0.57843,0.95609,0.84074,0.81556,0.8686,0.62477,0.87309,0.71534,0.99302,0.000461324,0.000461324,0.000461324
88,319.575,0.67196,0.56756,0.96046,0.89307,0.79203,0.87217,0.63056,0.87479,0.73477,1.00905,0.000460223,0.000460223,0.000460223
89,323.199,0.67739,0.59662,0.96704,0.8822,0.74366,0.84731,0.61493,0.87086,0.77631,1.01282,0.000459123,0.000459123,0.000459123
90,326.776,0.66578,0.57603,0.9598,0.88214,0.80081,0.86772,0.63573,0.86734,0.75462,1.03692,0.000458022,0.000458022,0.000458022
91,330.433,0.66816,0.57933,0.95501,0.87218,0.76665,0.8587,0.59775,0.95109,0.82749,1.05096,0.000456921,0.000456921,0.000456921
92,333.951,0.65968,0.57614,0.96012,0.86143,0.74824,0.82966,0.59943,0.88358,0.8163,1.01869,0.00045582,0.00045582,0.00045582
93,337.472,0.66586,0.57134,0.95528,0.89021,0.71763,0.82893,0.59936,0.9072,0.8231,1.00713,0.000454719,0.000454719,0.000454719
94,340.981,0.67638,0.56039,0.94681,0.84937,0.74936,0.83552,0.57962,0.92124,0.85491,1.02291,0.000453618,0.000453618,0.000453618
95,344.464,0.66372,0.55917,0.95402,0.87174,0.67128,0.81542,0.56222,0.93169,0.85216,1.03638,0.000452517,0.000452517,0.000452517
96,347.991,0.66557,0.5519,0.94389,0.84892,0.7181,0.82359,0.58112,0.88338,0.81725,1.00881,0.000451416,0.000451416,0.000451416
97,351.558,0.65401,0.55496,0.95283,0.88792,0.71358,0.85382,0.62263,0.85555,0.79846,1.00848,0.000450316,0.000450316,0.000450316
98,355.063,0.64349,0.54907,0.94817,0.89962,0.78159,0.86666,0.62865,0.85846,0.75371,1.00109,0.000449215,0.000449215,0.000449215
99,358.618,0.6536,0.55231,0.95029,0.77063,0.80984,0.82478,0.60459,0.84838,0.76773,0.99307,0.000448114,0.000448114,0.000448114
100,362.148,0.66956,0.55945,0.94849,0.86458,0.75598,0.84095,0.60835,0.85077,0.76275,1.00064,0.000447013,0.000447013,0.000447013
101,365.675,0.65852,0.57009,0.94942,0.89284,0.7852,0.86791,0.63688,0.83666,0.74647,1.00224,0.000445912,0.000445912,0.000445912
102,369.188,0.64721,0.53497,0.94767,0.87401,0.77125,0.86194,0.63126,0.85859,0.74113,0.99783,0.000444811,0.000444811,0.000444811
103,372.694,0.651,0.54556,0.94551,0.85635,0.7606,0.8381,0.60308,0.88362,0.77067,1.02267,0.00044371,0.00044371,0.00044371
104,376.207,0.64399,0.53014,0.94064,0.84738,0.69888,0.79744,0.57052,0.87586,0.85185,1.01561,0.000442609,0.000442609,0.000442609
105,379.728,0.64237,0.52377,0.94521,0.86642,0.74702,0.8081,0.57792,0.85558,0.79866,1.00641,0.000441508,0.000441508,0.000441508
106,383.337,0.64136,0.51583,0.94191,0.90655,0.76219,0.85778,0.62871,0.83874,0.75264,0.9847,0.000440408,0.000440408,0.000440408
107,386.896,0.63501,0.52763,0.94326,0.89545,0.74673,0.84243,0.61447,0.87554,0.78477,1.00204,0.000439307,0.000439307,0.000439307
108,390.474,0.64889,0.55424,0.9442,0.8497,0.78198,0.848,0.59815,0.90196,0.78762,1.00073,0.000438206,0.000438206,0.000438206
